Galaxy,Star,Period (Days)
AndXXVIII,V077,0.365
AndXXVIII,V078,0.726
AndXXVIII,V079,0.373
AndXXVIII,V080,0.532
AndXXVIII,V081,0.366
AndXXVIII,V082,0.579
AndXXVIII,V083,0.353
AndXXVIII,V084,0.371
AndXXVIII,V085,0.297
AndXXVIII,V086,0.369
AndXXVIII,V087,0.409
AndXXVIII,V088,0.41700000000000004
AndXXVIII,V089,0.33399999999999996
AndXXVIII,V090,0.322
