Star,HJD-2400000.0,Magnitude,Uncertainty in Magnitude,Passband
AB UMa,56728.2192,10.942,0.013000000000000001,V
AB UMa,56728.2212,10.939,0.013000000000000001,V
AB UMa,56728.2232,10.959000000000001,0.012,V
AB UMa,56728.2252,10.963,0.013000000000000001,V
AB UMa,56728.2272,10.954,0.013000000000000001,V
AB UMa,56728.2292,10.956,0.013000000000000001,V
AB UMa,56728.2311,10.956,0.013000000000000001,V
AB UMa,56728.2506,10.98,0.012,V
AB UMa,56728.2527,10.978,0.012,V
AB UMa,56728.2548,10.985,0.012,V
AB UMa,56728.2568,10.975999999999999,0.012,V
AB UMa,56728.2588,10.993,0.012,V
AB UMa,56728.2608,10.992,0.012,V
AB UMa,56728.2629,10.985999999999999,0.012,V
AB UMa,56728.2649,10.995,0.012,V
AB UMa,56728.2669,10.984000000000002,0.012,V
AB UMa,56728.269,10.992,0.012,V
AB UMa,56728.2711,10.993,0.012,V
AB UMa,56728.2731,11.001,0.012,V
AB UMa,56728.2751,10.997,0.012,V
AB UMa,56728.2771,11.0,0.012,V
AB UMa,56728.2792,11.001,0.012,V
AB UMa,56728.2812,11.005999999999998,0.012,V
AB UMa,56728.2833,11.015999999999998,0.012,V
AB UMa,56728.2854,11.011,0.012,V
AB UMa,56728.2873,11.013,0.012,V
AB UMa,56728.2894,11.015,0.012,V
AB UMa,56728.2915,11.011,0.012,V
AB UMa,56728.2935,11.014000000000001,0.012,V
AB UMa,56728.2955,11.022,0.012,V
AB UMa,56728.2975,11.017999999999999,0.012,V
AB UMa,56728.2995,11.017000000000001,0.012,V
AB UMa,56728.3015,11.014000000000001,0.012,V
AB UMa,56728.3035,11.027999999999999,0.012,V
AB UMa,56728.3055,11.026,0.012,V
AB UMa,56728.3076,11.026,0.012,V
AB UMa,56728.3097,11.022,0.012,V
AB UMa,56728.3116,11.037,0.012,V
AB UMa,56728.3137,11.032,0.012,V
AB UMa,56728.3157,11.032,0.012,V
AB UMa,56728.3178,11.033,0.012,V
AB UMa,56728.3198,11.036,0.012,V
AB UMa,56728.3217,11.040999999999999,0.012,V
AB UMa,56728.3237,11.034,0.012,V
AB UMa,56728.3257,11.034,0.012,V
AB UMa,56728.3278,11.038,0.012,V
AB UMa,56728.3939,11.09,0.013000000000000001,V
AB UMa,56728.3959,11.095,0.013000000000000001,V
AB UMa,56728.3979,11.095999999999998,0.013000000000000001,V
AB UMa,56728.4,11.085,0.013000000000000001,V
AB UMa,56728.402,11.084000000000001,0.013000000000000001,V
AB UMa,56728.4041,11.095999999999998,0.013000000000000001,V
AB UMa,56728.4067,11.095,0.013000000000000001,V
AB UMa,56728.4087,11.105,0.013000000000000001,V
AB UMa,56728.4107,11.095999999999998,0.013000000000000001,V
AB UMa,56728.4127,11.100999999999999,0.012,V
AB UMa,56728.4147,11.1,0.013000000000000001,V
AB UMa,56728.4313,11.106,0.015,V
AB UMa,56728.4334,11.099,0.016,V
AB UMa,56728.4355,11.095999999999998,0.015,V
AB UMa,56728.4376,11.113,0.013999999999999999,V
AB UMa,56728.4396,11.107000000000001,0.015,V
AB UMa,56728.4417,11.109000000000002,0.015,V
AB UMa,56728.4438,11.107000000000001,0.015,V
AB UMa,56728.4458,11.107999999999999,0.013999999999999999,V
AB UMa,56728.4479,11.097999999999999,0.013999999999999999,V
AB UMa,56728.4499,11.093,0.013999999999999999,V
AB UMa,56728.452,11.104000000000001,0.013999999999999999,V
AB UMa,56728.454,11.092,0.017,V
AB UMa,56728.4561,11.068,0.016,V
AB UMa,56728.4581,11.103,0.016,V
AB UMa,56728.4601,11.08,0.013999999999999999,V
AB UMa,56728.4622,11.081,0.013999999999999999,V
AB UMa,56728.4643,11.089,0.015,V
AB UMa,56728.4663,11.092,0.013999999999999999,V
AB UMa,56728.4684,11.074000000000002,0.015,V
AB UMa,56728.4704,11.074000000000002,0.013000000000000001,V
AB UMa,56728.4725,11.067,0.012,V
AB UMa,56728.4745,11.065999999999999,0.013000000000000001,V
AB UMa,56728.4766,11.04,0.013000000000000001,V
AB UMa,56728.4787,11.045,0.013999999999999999,V
AB UMa,56728.4807,11.043,0.013000000000000001,V
AB UMa,56728.4827,11.037,0.015,V
AB UMa,56728.4848,11.027000000000001,0.013000000000000001,V
AB UMa,56728.4869,11.01,0.013000000000000001,V
AB UMa,56793.3769,10.738,0.013000000000000001,V
AB UMa,56793.3792,10.718,0.013000000000000001,V
AB UMa,56793.3816,10.735999999999999,0.012,V
AB UMa,56793.3839,10.720999999999998,0.013000000000000001,V
AB UMa,56793.3863,10.725,0.013000000000000001,V
AB UMa,56793.3887,10.708,0.013000000000000001,V
AB UMa,56793.391,10.732000000000001,0.013000000000000001,V
AB UMa,56793.3934,10.720999999999998,0.013000000000000001,V
AB UMa,56793.3958,10.728,0.012,V
AB UMa,56793.3981,10.753,0.013000000000000001,V
AB UMa,56793.4005,10.739,0.013999999999999999,V
AB UMa,56793.4028,10.755,0.013000000000000001,V
AB UMa,56793.4052,10.738,0.013999999999999999,V
AB UMa,56793.4076,10.763,0.013999999999999999,V
AB UMa,56793.4099,10.759,0.015,V
AB UMa,56793.413,10.767999999999999,0.013999999999999999,V
AB UMa,56793.4154,10.767000000000001,0.018000000000000002,V
AB UMa,56796.3351,10.725999999999999,0.012,V
AB UMa,56796.3374,10.702,0.012,V
AB UMa,56796.3398,10.72,0.012,V
AB UMa,56796.3421,10.706,0.012,V
